Frame #,Count
1,8
2,8
3,8
4,8
5,8
6,8
7,8
8,8
9,8
10,8
11,8
12,8
13,8
14,8
15,8
16,8
17,8
18,8
19,7
20,7
21,7
22,7
23,7
24,7
25,7
26,7
27,7
28,7
29,7
30,7
31,7
32,7
33,7
34,7
35,6
36,6
37,6
38,6
39,6
40,6
41,6
42,6
43,6
44,6
45,6
46,5
47,5
48,5
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,4
61,4
62,4
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,4
82,4
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
121,5
122,5
123,5
124,5
125,5
126,6
127,6
128,6
129,6
130,6
131,6
132,6
133,6
134,6
135,6
136,6
137,6
138,6
139,6
140,6
141,6
142,6
143,6
144,6
145,6
146,6
147,6
148,6
149,6
150,6
151,6
152,6
153,6
154,7
155,7
