Frame #,Count
1,460
2,460
3,460
4,460
5,460
6,460
7,460
8,460
9,460
10,460
11,460
12,460
13,460
14,460
15,460
16,460
17,460
18,460
19,460
20,460
21,460
22,460
23,460
24,460
25,460
26,460
27,460
28,460
29,460
30,460
31,460
32,460
33,460
34,460
35,460
36,460
37,460
38,460
39,460
40,460
41,460
42,460
43,460
44,460
45,460
46,460
47,460
48,460
49,460
50,460
51,460
52,460
53,460
54,460
55,460
56,460
57,460
58,460
59,460
60,460
61,460
62,460
63,460
64,460
65,460
66,460
67,460
68,460
69,460
70,460
71,460
72,460
73,460
74,460
75,460
76,460
77,460
78,460
79,460
80,460
81,460
82,460
83,460
84,460
85,460
86,460
87,460
88,460
89,460
90,460
91,460
92,460
93,460
94,460
