Frame #,Count
1,23
2,23
3,22
4,21
5,20
6,20
7,19
8,19
9,19
10,19
11,18
12,17
13,17
14,16
15,16
16,16
17,16
18,15
19,15
20,15
21,15
22,15
23,15
24,14
25,14
26,14
27,14
28,14
29,13
30,13
31,12
32,12
33,11
34,11
35,10
36,10
37,9
38,9
39,9
40,9
41,9
42,8
43,8
44,8
45,8
46,8
47,8
48,8
49,8
50,7
51,7
52,7
53,7
54,7
55,7
56,6
57,6
58,6
59,6
60,6
61,5
62,5
63,5
64,5
65,5
66,5
67,4
68,4
69,4
70,4
71,4
72,4
73,4
74,4
75,4
76,4
77,4
78,4
79,4
80,4
81,3
82,3
83,3
84,3
85,3
86,3
87,3
88,3
89,3
90,3
91,3
92,3
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,2
112,2
113,2
114,2
115,2
116,2
117,2
118,2
119,2
120,2
121,2
122,2
123,2
124,2
125,2
126,2
127,2
128,2
129,2
130,2
