Frame #,Count
1,87
2,94
3,95
4,96
5,97
6,97
7,97
8,96
9,97
10,97
11,99
12,99
13,99
14,99
15,99
16,100
17,101
18,103
19,103
20,103
21,104
22,105
23,106
24,106
25,106
26,105
27,104
28,102
29,102
30,102
31,101
32,100
33,98
34,97
35,97
36,98
37,98
38,99
39,99
40,99
41,99
42,99
43,101
44,101
45,102
46,100
47,100
48,98
49,97
50,96
51,96
52,97
53,97
54,96
55,95
56,94
57,94
58,96
59,96
60,97
61,96
62,96
63,97
64,96
65,96
66,97
67,97
68,94
69,95
70,93
71,94
72,93
73,92
74,92
75,92
76,92
77,92
78,94
79,94
80,93
81,91
82,92
83,92
84,92
85,93
86,94
87,94
88,95
89,96
90,100
91,100
92,100
93,100
94,100
95,101
96,101
97,101
