Frame #,Count
1,26
2,25
3,25
4,25
5,25
6,26
7,26
8,26
9,26
10,27
11,27
12,28
13,28
14,29
15,30
16,30
17,31
18,32
19,33
20,33
21,33
22,34
23,34
24,34
25,34
26,35
27,35
28,35
29,35
30,35
31,35
32,36
33,36
34,36
35,36
36,37
37,36
38,36
39,37
40,37
41,37
42,37
43,37
44,37
45,37
46,36
47,36
48,36
49,35
50,34
51,34
52,33
53,33
54,33
55,33
56,33
57,32
58,32
59,32
60,32
61,33
62,33
63,33
64,34
65,34
66,34
67,35
68,36
69,37
70,37
71,37
72,36
73,36
74,35
75,35
76,35
77,34
78,33
79,33
80,33
81,33
82,33
83,33
84,33
85,33
86,33
87,34
88,34
89,34
90,34
91,34
92,34
93,34
94,34
95,34
96,34
97,34
98,35
99,34
100,35
101,35
102,35
103,35
104,35
105,35
106,35
107,36
108,35
109,35
110,35
111,34
112,33
113,33
114,32
115,31
116,31
117,30
