Frame #,Count
1,109
2,110
3,113
4,115
5,114
6,115
7,115
8,115
9,115
10,115
11,114
12,114
13,114
14,112
15,112
16,111
17,110
18,110
19,110
20,111
21,112
22,112
23,112
24,114
25,115
26,115
27,116
28,116
29,117
30,116
31,117
32,117
33,118
34,117
35,117
36,118
37,119
38,119
39,119
40,120
41,121
42,121
43,121
44,121
45,121
46,121
47,121
48,121
49,120
50,120
51,119
52,120
53,122
54,122
55,122
56,121
57,122
58,123
59,123
60,124
61,125
62,124
63,122
64,122
65,121
66,121
67,120
68,119
69,117
70,116
71,116
72,116
73,116
74,115
75,115
76,115
77,115
78,115
79,113
80,111
81,109
82,109
83,108
84,106
85,106
