Frame #,Count
1,273
2,272
3,275
4,274
5,272
6,274
7,274
8,276
9,277
10,276
11,276
12,276
13,275
14,275
15,276
16,275
17,274
18,273
19,272
20,272
21,271
22,270
23,269
24,269
25,269
26,270
27,269
28,268
29,268
30,267
31,269
32,270
33,272
34,272
35,272
36,270
37,271
38,271
39,271
40,270
41,270
42,269
43,267
44,267
45,265
46,266
47,265
48,264
49,263
50,263
51,261
52,261
53,260
54,259
55,260
56,259
57,260
58,259
59,258
60,258
61,259
62,259
63,260
64,260
65,259
66,259
67,259
68,259
69,260
70,260
71,259
72,259
73,259
74,259
75,259
76,259
77,258
78,257
