Frame #,Count
1,60
2,62
3,61
4,60
5,58
6,57
7,56
8,55
9,54
10,54
11,53
12,52
13,51
14,51
15,51
16,51
17,51
18,50
19,51
20,51
21,51
22,51
23,50
24,50
25,50
26,50
27,49
28,50
29,50
30,50
31,50
32,50
33,50
34,51
35,51
36,51
37,51
38,51
39,51
40,52
41,51
42,52
43,52
44,51
45,52
46,51
47,51
48,49
49,48
50,48
51,48
52,47
53,47
54,47
55,47
56,47
57,47
58,48
59,49
60,49
61,50
62,49
63,47
64,46
65,44
66,43
67,43
68,42
69,40
70,40
71,39
72,40
73,41
74,42
75,42
76,43
77,43
78,43
79,43
80,43
81,43
82,42
83,42
84,40
85,40
86,39
87,39
88,37
89,37
90,36
91,35
92,34
93,34
94,34
95,34
96,34
97,34
98,34
99,33
100,34
101,34
102,34
103,34
104,34
105,34
106,34
107,34
108,35
109,37
110,38
111,40
112,41
113,42
114,44
115,45
