Frame #,Count
1,287
2,286
3,288
4,288
5,289
6,292
7,294
8,296
9,298
10,299
11,301
12,305
13,306
14,307
15,310
16,311
17,312
18,311
19,311
20,313
21,315
22,315
23,316
24,317
25,317
26,318
27,319
28,319
29,320
30,320
31,320
32,320
33,321
34,322
35,320
36,319
37,319
38,319
39,318
40,317
41,319
42,320
43,320
44,319
45,319
46,320
47,319
48,317
49,317
50,316
51,312
52,309
53,305
54,302
55,298
56,293
57,289
58,285
59,280
60,274
61,269
62,263
63,258
64,254
65,250
66,246
67,241
68,237
69,231
70,227
71,222
72,216
73,211
