Frame #,Count
1,53
2,49
3,49
4,49
5,49
6,48
7,47
8,48
9,49
10,49
11,49
12,49
13,49
14,50
15,49
16,51
17,52
18,52
19,51
20,51
21,51
22,51
23,51
24,50
25,50
26,49
27,48
28,48
29,48
30,48
31,49
32,49
33,49
34,48
35,49
36,50
37,51
38,51
39,51
40,51
41,52
42,52
43,52
44,52
45,52
46,53
47,53
48,55
49,56
50,57
51,58
52,59
53,60
54,61
55,62
56,62
57,62
58,62
59,61
60,60
61,59
62,58
63,57
64,57
65,57
66,56
67,55
68,54
69,54
70,53
71,52
72,52
73,52
74,51
75,50
76,49
77,49
78,49
79,50
80,50
81,51
82,50
83,50
84,51
85,50
86,50
87,49
88,49
89,49
90,49
91,49
92,49
93,49
94,48
95,49
96,50
97,50
98,50
99,49
